mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6557853698730469,0.03618878854106827,0.033696222305297854,0.0032139781639096894,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8610283069167757,0.8493145428400626,0.8543534810075453,0.8241541854490815,0.8218689464680736,0.8421438925363077,0.01607368272713469,46
1.3280277252197266,0.06920667599742585,0.055683231353759764,0.0035422916923235886,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8629731956764093,0.8512574119852003,0.8539495581083483,0.8250731100447546,0.8207143521532881,0.8427935255936001,0.016761960183714796,44
2.3085493087768554,0.02904382126563812,0.07811479568481446,0.0045524640395550086,5,1,2,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.8635669623382289,0.8509766855702583,0.8545514032281517,0.8257416024429257,0.8199479927044198,0.8429569292567969,0.017025277796248496,42
0.6998741149902343,0.026376858692004453,0.0323488712310791,0.0048727427151890905,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8617190150744026,0.84995476063529,0.8530245746691871,0.8228858675456031,0.8211329178681054,0.8417434271585176,0.016577786625326624,48
1.2252435684204102,0.03746941263848763,0.053829288482666014,0.004850681852814514,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8627005477194514,0.8513341573360477,0.8528226132195887,0.8234049084710711,0.8200470734774925,0.8420618600447302,0.017090684038425032,47
1.9367441177368163,0.07957776755167777,0.0710874080657959,0.005983595310768583,5,1,5,300,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.8633710597321184,0.8504313896563425,0.8534850467742716,0.8240067535908746,0.8204009333813234,0.8423390366269862,0.01702597245964765,45
0.7254568099975586,0.11137589637253449,0.044484710693359374,0.004690225113858147,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8631791963549997,0.8519723555167791,0.8529902412227554,0.8244409707075112,0.8224715193328831,0.8430108566269858,0.016452133880988526,41
1.4279724597930907,0.0751459774303278,0.05746283531188965,0.007236281451851173,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8639931009968818,0.8527902993876529,0.8535234194496955,0.8253396991582247,0.8204595730225298,0.843221218402997,0.017129010448469796,37
1.828451156616211,0.11601519810338672,0.06717300415039062,0.012683214809851493,5,2,2,300,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",0.864354611991663,0.852115748145994,0.8534830271597758,0.8256224451876626,0.820473727418683,0.8432099119807557,0.01707748358789156,38
0.6501333236694335,0.04909030745181892,0.028271865844726563,0.002159404985233849,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8631913140419757,0.8518027078991162,0.852380317644968,0.8245379122033186,0.8226009309548555,0.8429026365488468,0.01631006127353411,43
